Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,25650149.992127605,30971557.326777633,36296601.837430194,41694878.85478083,47043628.85963027,52275690.383408844,76666695.6574612,101053984.99683194,125632376.38975194,150373160.1053706,193052074.1966595,189651556.9579497,184323784.32728827,179004670.18114084,173985786.8712666,168949506.1272154,162728826.4758626,138332518.15242228,113978037.09209666,89632374.17813398
Utility Bills (res),21817508.158046562,26345866.861429993,30875708.265648,35396914.51688064,39924682.921005346,44464749.19216869,65213847.653313145,85961283.97591548,106691218.71918637,127408154.94467655,165182558.1529523,162592377.13258687,158057122.86862063,153529745.91608602,148971912.92216158,144421249.64183474,139643045.10947138,118893181.46873629,98137855.04606228,77385601.90666337
Utility Bills (work),2358634.7757763583,2846752.4654272795,3335659.3952527945,3905270.6721419557,4419560.740362036,4806220.60030029,7047745.668389363,9288382.818330614,11731029.989914894,14347334.274929676,17100739.44697999,16462891.867564645,15975160.464544754,15480931.137320444,15322877.002492964,15142820.644356746,14072313.064984329,11793832.012915252,9562867.10006786,7333413.433775128
Utility Bills (pub L2),629594.4475508136,759881.8481893913,890667.7744040177,1023174.1473313071,1154528.1312290758,1283338.161244886,1881555.917260957,2479342.1937457696,3082670.663359484,3689527.554497412,4676850.005120463,4594776.812716027,4461759.322717116,4331032.279486895,4208383.412051252,4084515.9341832,3939735.7254044646,3338849.374496799,2739330.498912425,2141324.912523914
Utility Bills (DCFC),844412.6107538712,1019056.1517309692,1194566.4021253847,1369519.5184269317,1544857.0670338105,1721382.4296949795,2523546.4184977356,3324976.008840073,4127457.0172911948,4928143.331266969,6091926.591606733,6001511.145082165,5829741.671405753,5662960.848247472,5482613.534560801,5300919.906840717,5073732.576002416,4306655.2962739365,3537984.4470540886,2772033.9251715587
Incremental upfront vehicle cost,12332275.998503972,15413834.87941503,9233827.473672122,4616885.622123599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,13679502.945008568,23974826.469064344,23996816.72004844,24018872.941785514,24040995.332187798,24063184.089761283,110341824.97129928,110444088.4212354,110546658.66152138,110649536.61252815,115053327.73108178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),7064777.725999068,12380594.78101006,12390746.44138685,12400928.556744786,12411141.218448788,12421384.518137904,56952745.10130652,56999954.376610436,57047305.2797403,57094798.23557951,59127780.57117077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),2842562.0816730247,4980219.340306054,4983101.910536495,4985993.12847764,4988893.0200726045,4991801.611342353,22882140.213951237,22895545.316815306,22908990.63498798,22922476.289115176,23499742.87823368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),1705537.2490038176,2988131.604183631,2989861.146321898,2991595.8770865845,2993335.8120435653,2995080.9668054115,13729284.12837074,13737327.190089181,13745394.38099279,13753485.773469102,14099845.726940205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),2066625.8883326573,3625880.743564601,3633107.221803196,3640355.379476507,3647625.2816228373,3654916.9934756113,16777655.527670786,16811261.537720468,16844968.365800314,16878776.314364366,18325958.554737132,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),29363489.290470775,37408324.782730296,44524695.21148139,51306453.219171494,64016212.02539138,70167370.32830143,99561837.18933566,130497199.7628553,163690815.513917,200767723.39139068,202673321.8384081,197100777.03055656,190665709.91202047,184064422.54319566,178057149.37831417,172349084.91093713,140971079.67861387,109893467.37487671,76082617.59664033,41180864.69959028
Avoided vehicle gasoline (gallons),10125341.134645095,12145559.994392954,14090093.42135487,15933681.123966303,17733022.721715063,19436944.689280175,27503269.94180543,35850879.05572948,44481199.867912225,53395671.114731565,53617280.90963178,51597062.04988392,49652528.622922,47808940.920310564,46009599.3225618,44305677.35499669,36239352.10247143,27891742.98854739,19261422.17636464,10346950.929545296
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,812449.4384898928,2284225.0747726257,3820365.6135235694,5422990.771043365,7094282.378537088,8836486.089227347,16457233.876394358,24409017.70692953,32702714.72481208,41349520.44691131,57869490.99806496,57335262.502948925,56749519.120404735,56110252.76197718,55415391.91652453,54662799.83153517,46633630.37767691,38224720.67273042,29423248.263663493,20216010.303792015
Federal EV Tax Credit,24084469.520451367,41264255.085358664,40375983.44947029,39506833.12081244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,3211.262602726849,5622.942492964874,5622.94249296487,5622.942492964874,5622.942492964874,5622.942492964874,25760.199999999997,25760.199999999997,25760.20000000001,25760.20000000001,28971.46260272683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,489816.7089041951,684001.7384517469,767720.0079351093,855256.290019389,946746.7511125315,1190065.927222215,2818323.14622775,3649019.6301971674,4309488.680288689,5000900.050709041,6255872.845013124,4923831.54974761,4900116.221893705,4872276.554913152,4840124.29587003,4803464.422100188,4762094.938393183,4131605.8574015237,3467314.56818592,2767940.803369326
Distribution Cost,335698.7588509959,493533.6473244398,539284.9776879766,587181.7609799625,637302.6762883905,837462.9991987788,2289069.544956671,2935041.1752473977,3402430.0476979665,3892116.0337115666,4826885.612549105,3484972.5190715194,3469818.598553969,3451728.873802274,3430566.0289634266,3406187.708444621,3378446.3723521912,2932770.5120752677,2462699.332793561,1967291.613314123
Transmission Cost,154117.95005319922,190468.0911273071,228435.03024713276,268074.5290394265,309444.074824141,352602.92802343634,529253.601271079,713978.4549497695,907058.6325907226,1108784.0169974745,1428987.2324640194,1438859.0306760906,1430297.6233397368,1420547.6811108782,1409558.2669066037,1397276.7136555675,1383648.5660409913,1198835.3453262562,1004615.2353923592,800649.1900552033
Cumulative personal light-duty EV population,27085.287535175634,32708.230028140508,38331.17252110538,43954.11501407025,49577.057507035126,55200.0,80960.2,106720.4,132480.6,158240.80000000002,184001.0,178378.05750703512,172755.11501407024,167132.17252110536,161509.23002814048,155886.2875351756,130126.0875351756,104365.8875351756,78605.68753517559,52845.487535175576
