year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,2596507,56730.219245279746,0,12000,12000,0,5377.16,5377.16,31.0
2020,2630793,64360.92382996227,0,12000,12000,0,3840.32,3840.32,32.1
2021,2669044,77722.33906396982,0,12000,12000,0,2741.24,2741.24,33.4
2022,2715239,91083.75429797737,0,12000,12000,0,1642.17,1642.17,34.7
2023,2753501,104445.16953198492,0,12000,12000,0,821.08,821.08,36.6
2024,2795713,117806.58476599248,0,12000,12000,0,0.0,0.0,37.5
2025,2836609,131168.0,0,12000,12000,0,0.0,0.0,39.6
2026,2872226,192380.0,0,12400,12400,0,0.0,0.0,39.6
2027,2914440,253592.0,0,12800,12800,0,0.0,0.0,39.5
2028,2954015,314804.0,0,13200,13200,0,0.0,0.0,39.4
2029,2993607,376016.0,0,13600,13600,0,0.0,0.0,39.3
2030,3022616,437228.0,0,14000,14000,0,0.0,0.0,39.2
