year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,772266,7775.060619757822,0,12000,12000,0,5377.16,5377.16,31.0
2020,782464,8820.873442388629,0,12000,12000,0,3840.32,3840.32,32.1
2021,793840,10652.098753910903,0,12000,12000,0,2741.24,2741.24,33.4
2022,807580,12483.324065433177,0,12000,12000,0,1642.17,1642.17,34.7
2023,818960,14314.54937695545,0,12000,12000,0,821.08,821.08,36.6
2024,831515,16145.774688477724,0,12000,12000,0,0.0,0.0,37.5
2025,843678,17977.0,0,12000,12000,0,0.0,0.0,39.6
2026,854272,19774.6,0,12400,12400,0,0.0,0.0,39.6
2027,866827,21572.199999999997,0,12800,12800,0,0.0,0.0,39.5
2028,878598,23369.799999999996,0,13200,13200,0,0.0,0.0,39.4
2029,890374,25167.399999999994,0,13600,13600,0,0.0,0.0,39.3
2030,899002,26965.0,0,14000,14000,0,0.0,0.0,39.2
